model,test,seed,field,n,threshold,nb_only,nn_only,nb_nn_mixed,no_nb_nn,nb_only_pct,nn_only_pct,nb_nn_mixed_pct,no_nb_nn_pct,mean_nb,mean_nn,mean_nb_minus_nn,mean_da,mean_sv,mean_other
original_subsampled,flores_nob,456,reference,1012,0.5,1007,1,4,0,0.9950592885375494,0.0009881422924901185,0.003952569169960474,0.0,0.9978331201781704,0.007094928769385495,0.9907381914087849,0.0013218497429349047,0.0008334717266313919,0.0008422417731456626
original_subsampled,flores_nno,42,prediction,1012,0.5,985,6,11,10,0.9733201581027668,0.005928853754940711,0.010869565217391304,0.009881422924901186,0.9817143856456205,0.018078328558572266,0.9636360570870482,0.012842137270310179,0.0007848614538377178,0.0008606780906472842
original_subsampled,flores_nno,42,reference,1012,0.5,2,1007,3,0,0.001976284584980237,0.9950592885375494,0.0029644268774703555,0.0,0.006034407033655183,0.997153448739748,-0.9911190417060928,0.000522873138172806,0.0005042827354124959,0.0007663631052421379
original_subsampled,flores_nno,123,prediction,1012,0.5,991,1,11,9,0.9792490118577075,0.0009881422924901185,0.010869565217391304,0.008893280632411068,0.9873236596907338,0.014611210416405236,0.9727124492743285,0.011861670266927846,0.001147662469675161,0.0008374851649393454
original_subsampled,flores_nno,123,reference,1012,0.5,2,1007,3,0,0.001976284584980237,0.9950592885375494,0.0029644268774703555,0.0,0.006034407033655183,0.997153448739748,-0.9911190417060928,0.000522873138172806,0.0005042827354124959,0.0007663631052421379
original_subsampled,flores_nno,456,prediction,1012,0.5,983,6,11,12,0.9713438735177866,0.005928853754940711,0.010869565217391304,0.011857707509881422,0.9802565472690562,0.01821044435552682,0.9620461029135294,0.015041421437100818,0.0010758072654432822,0.0008623402597654263
original_subsampled,flores_nno,456,reference,1012,0.5,2,1007,3,0,0.001976284584980237,0.9950592885375494,0.0029644268774703555,0.0,0.006034407033655183,0.997153448739748,-0.9911190417060928,0.000522873138172806,0.0005042827354124959,0.0007663631052421379
bokmal,original,42,prediction,1742,0.5,1626,13,86,17,0.9334098737083811,0.007462686567164179,0.04936854190585534,0.00975889781859931,0.9781699989311264,0.0596926772065915,0.9184773217245349,0.017002179119935106,0.007051750482752108,0.006361596717533079
bokmal,original,42,reference,1742,0.5,1328,299,104,11,0.7623421354764638,0.17164179104477612,0.05970149253731343,0.006314580941446613,0.8165272416246847,0.2332824244502609,0.5832448171744238,0.01656976923641718,0.005993264365612106,0.00516774315378256
bokmal,original,123,prediction,1742,0.5,1626,12,84,20,0.9334098737083811,0.006888633754305396,0.04822043628013777,0.011481056257175661,0.9777132688885732,0.059204362720426444,0.9185089061681468,0.01844445377054504,0.007538102369913857,0.006151299552438345
bokmal,original,123,reference,1742,0.5,1328,299,104,11,0.7623421354764638,0.17164179104477612,0.05970149253731343,0.006314580941446613,0.8165272416246847,0.2332824244502609,0.5832448171744238,0.01656976923641718,0.005993264365612106,0.00516774315378256
bokmal,original,456,prediction,1742,0.5,1628,11,83,20,0.9345579793340988,0.006314580941446613,0.04764638346727899,0.011481056257175661,0.9786115094533363,0.05830629527845805,0.9203052141748782,0.017327026182596638,0.007867219695991917,0.00663199520200666
